trade_num,original_pnl,adjusted_pnl,skipped,slippage_cost,spread_cost,lot_penalty,balance_theo,balance_real
118,-9.043696393945638,-12.89015272657526,False,0.986456332629621,2.86,-0.0,723.5718215718499,644.1472114491504
119,16.452503979831363,15.477271252280708,False,0.9752327275506543,0.0,0.0,740.0243255516813,659.6244827014311
120,-7.59858774262554,-8.613729851858368,False,1.0151421092328277,0.0,-0.0,732.4257378090557,651.0107528495728
121,-3.6177987774107123,-7.473159410070489,False,0.9953606326597766,2.86,-0.0,728.807939031645,643.5375934395023
122,-4.975084902814871,-6.3324347612669065,False,1.357349858452036,0.0,-0.0,723.8328541288301,637.2051586782354
123,-5.132129185719563,-6.128546015236243,False,0.9964168295166803,0.0,-0.0,718.7007249431106,631.0766126629992
124,-20.923057419762685,-22.281907894830553,False,1.3588504750678665,0.0,-0.0,697.7776675233479,608.7947047681687
125,21.213446453207467,19.043033993846016,False,1.1954124593614504,0.9750000000000001,0.0,718.9911139765553,627.8377387620147
126,76.81379422227953,72.54429856160526,False,0.33699566067426207,3.9325,0.0,795.8049081988348,700.38203732362
127,-11.384318557005088,-13.693985538555177,False,1.139666981550089,1.17,-0.0,784.4205896418298,686.6880517850649
128,-23.748751560588516,-29.393056222934014,False,1.3543046623454968,4.29,-0.0,760.6718380812413,657.2949955621309
129,-10.663468799769035,-12.293063278506104,False,0.5570944787370676,1.0725,-0.0,750.0083692814723,645.0019322836248
130,6.732770607253698,4.681290576992749,False,0.9789800302609492,1.0725,0.0,756.7411398887259,649.6832228606175
131,33.154737288299685,30.8911062174169,False,1.1911310708827836,1.0725,0.0,789.8958771770256,680.5743290780345
132,-29.28329218031496,-31.682607340990735,False,1.2293151606757782,1.17,-0.0,760.6125849967107,648.8917217370437
133,-22.608071695418403,-23.32410848170424,False,0.7160367862858389,0.0,-0.0,738.0045133012923,625.5676132553394
134,-38.01670279502828,-38.64544949820582,False,0.6287467031775432,0.0,-0.0,699.9878105062639,586.9221637571336
135,16.815862452592683,16.146824052343288,False,0.6690384002493952,0.0,0.0,716.8036729588566,603.0689878094769
136,-18.505159642812586,-18.845006705382662,False,0.3398470625700761,0.0,-0.0,698.298513316044,584.2239811040943
137,8.183563204070623,7.075327704021569,False,1.1082355000490545,0.0,0.0,706.4820765201147,591.2993088081158
138,-6.307777197065107,-9.855351837566483,False,0.6875746405013752,2.86,-0.0,700.1742993230496,581.4439569705494
139,-22.37136833093686,-23.769327286570405,False,0.3254589556335453,1.0725,-0.0,677.8029309921127,557.674629683979
140,-4.161461322904927,-6.381882220270926,False,1.2454208973659995,0.9750000000000001,-0.0,673.6414696692077,551.2927474637081
141,14.53707650607484,12.871544204288796,False,0.6905323017860434,0.9750000000000001,0.0,688.1785461752826,564.1642916679968
142,-27.785953223704922,-29.69908611767005,False,0.9381328939651274,0.9750000000000001,-0.0,660.3925929515776,534.4652055503268
143,4.440669841708598,2.3981417939206158,False,1.067528047787982,0.9750000000000001,0.0,664.8332627932862,536.8633473442475
144,-12.476720752137709,-13.7103231819561,False,0.25860242981839193,0.9750000000000001,-0.0,652.3565420411485,523.1530241622913
145,18.622690340569363,16.47177721862144,False,1.1759131219479213,0.9750000000000001,0.0,670.9792323817178,539.6248013809128
146,-8.670001343108424,-9.998007151776807,False,0.3530058086683836,0.9750000000000001,-0.0,662.3092310386094,529.626794229136
147,-24.60903253039575,-25.890773087511434,False,0.3067405571156832,0.9750000000000001,-0.0,637.7001985082136,503.7360211416245
148,-33.51790735125505,-34.76831047328748,False,0.27540312203243383,0.9750000000000001,-0.0,604.1822911569585,468.967710668337
149,-9.633278628556809,-10.767179990905179,False,0.2564013623483693,0.8775,-0.0,594.5490125284017,458.20053067743186
150,-14.85657171778658,-16.28178402416604,False,0.5477123063794617,0.8775,-0.0,579.6924408106152,441.9187466532658
151,5.035869054642973,3.040830344434725,False,1.1175387102082475,0.8775,0.0,584.7283098652581,444.95957699770054
152,-22.340249017651658,-23.767439175462155,False,0.5496901578104957,0.8775,-0.0,562.3880608476064,421.1921378222384
153,-25.863406372070017,-27.293035728836468,False,0.6496293567664517,0.78,-0.0,536.5246544755364,393.89910209340195
154,5.300934485726202,4.2666359113675645,False,0.2542985743586378,0.78,0.0,541.8255889612626,398.16573800476954
155,-1.150187009020783,0.0,True,0.0,0.0,0.0,540.6754019522418,398.16573800476954
156,-14.72811338814472,-15.713885483847465,False,0.20577209570274424,0.78,-0.0,525.9472885640971,382.45185252092205
157,8.067668876802031,6.557766969731431,False,0.7299019070706002,0.78,0.0,534.0149574408991,389.00961949065345
158,-3.403083784591331,-5.189644317442826,False,1.006560532851495,0.78,-0.0,530.6118736563078,383.81997517321065
159,-3.8711340621752015,-5.574975691494684,False,0.923841629319483,0.78,-0.0,526.7407395941326,378.244999481716
160,-3.7674644149825554,-3.934208970608353,False,0.16674455562579765,0.0,-0.0,522.97327517915,374.3107905111076
161,23.578116850126435,22.63434633761734,False,0.9437705125090949,0.0,0.0,546.5513920292765,396.9451368487249
162,-2.2567252355792107,-2.477961398805303,False,0.2212361632260926,0.0,-0.0,544.2946667936973,394.46717544991964
163,20.393723235377593,19.77530474113118,False,0.6184184942464116,0.0,0.0,564.6883900290749,414.24248019105084
164,-7.7429454487311205,-8.300759749985833,False,0.5578143012547115,0.0,-0.0,556.9454445803437,405.941720441065
165,-7.94369081539287,-10.976314496666904,False,0.9526236812740342,2.08,-0.0,549.0017537649509,394.96540594439807
166,-18.08295292214723,-19.079116674070907,False,0.996163751923678,0.0,-0.0,530.9188008428036,375.88628927032715
167,19.195315893567113,18.491118677110553,False,0.7041972164565584,0.0,0.0,550.1141167363708,394.3774079474377
168,-5.9334559985205715,-6.499365388487516,False,0.5659093899669443,0.0,-0.0,544.1806607378502,387.8780425589502
169,7.168638465976073,6.9439210468990265,False,0.2247174190770466,0.0,0.0,551.3492992038263,394.82196360584925
170,-10.899314147873042,-11.672489103066496,False,0.7731749551934547,0.0,-0.0,540.4499850559532,383.14947450278277
171,-7.593847740749538,-8.46924253817048,False,0.8753947974209426,0.0,-0.0,532.8561373152037,374.6802319646123
172,-21.489896225195253,-22.45115585628781,False,0.9612596310925569,0.0,-0.0,511.36624109000843,352.2290761083245
173,12.195523136858014,11.397987091442705,False,0.7975360454153103,0.0,0.0,523.5617642268664,363.6270631997672
174,-7.795310461949725,-8.775842441234673,False,0.9805319792849477,0.0,-0.0,515.7664537649167,354.8512207585325
175,10.978803346554628,10.799494941099057,False,0.17930840545557075,0.0,0.0,526.7452571114713,365.6507156996316
176,0.1566665344807916,-0.8720855638336193,False,1.028752098314411,0.0,0.0,526.9019236459521,364.778630135798
177,-11.411478135230027,-11.90418565249185,False,0.492707517261823,0.0,-0.0,515.4904455107221,352.87444448330615
178,-9.665624591430742,-10.562707166395388,False,0.8970825749646459,0.0,-0.0,505.82482091929137,342.31173731691075
179,108.78596579973691,107.60827394815017,False,0.3976918515867443,0.78,0.0,614.6107867190283,449.9200112650609
