exit_date,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2025-03-10,8,3,5,0.375,2772.851122140913,1248.3092993005675,1524.5418228403455,190.5677278550432,943.8106842041088,-298.7956063957017,2.2212853206289114,0 days 08:35:37.500000,40395.680452619694
2025-03-11,10,6,4,0.6,5333.846136689188,1300.4337462310443,4033.412390458143,403.3412390458143,1086.3354860544364,-365.34988463579225,4.101590067274015,0 days 02:09:00,44429.09284307784
2025-03-12,7,3,4,0.42857142857142855,2914.4736467600096,1567.366962816119,1347.1066839438909,192.4438119919844,1118.7268162965943,-441.8413448631924,1.859471148685894,0 days 03:17:08.571428571,45776.19952702173
2025-03-13,5,1,4,0.2,1011.8735707998356,1233.8746143938706,-222.00104359403502,-44.40020871880701,1011.8735707998356,-381.8364351468154,0.8200781173352116,0 days 03:30:00,45554.198483427695
2025-03-14,4,1,3,0.25,805.155443429953,1000.1043334091037,-194.94888997915058,-48.737222494787645,805.155443429953,-448.4169477224284,0.8050714475812548,0 days 04:56:15,45359.24959344854
2025-03-17,3,2,1,0.6666666666666666,1620.1924631595675,343.28575497863767,1276.9067081809299,425.63556939364327,859.2991719245973,-343.28575497863767,4.719661214198622,0 days 06:00:00,46636.15630162947
2025-03-18,4,2,2,0.5,2038.5119798183307,788.6909855519102,1249.8209942664205,312.4552485666051,1084.7251403331757,-432.0321727523492,2.584677671181725,0 days 02:41:15,47885.977295895886
2025-03-19,4,2,2,0.5,2069.2144678830796,732.6838895017559,1336.5305783813237,334.13264459533093,1107.4644545316523,-395.13849128114913,2.824157180923139,0 days 04:11:15,49222.50787427721
2025-03-20,4,3,1,0.75,3180.460504889488,459.3072094917443,2721.153295397744,680.288323849436,1144.740890264511,-459.3072094917443,6.924473291871232,0 days 06:18:45,51943.66116967495
2025-03-21,3,2,1,0.6666666666666666,2141.227155447011,263.9013779225479,1877.3257775244629,625.7752591748209,1178.619713544836,-263.9013779225479,8.113739959612628,0 days 05:40:00,53820.98694719942
2025-03-24,2,2,0,1.0,2066.8285006284796,0.0,2066.8285006284796,1033.4142503142398,1065.0893064737472,1001.7391941547322,2066828500628.4795,1 days 10:45:00,55887.815447827896
2025-03-25,1,0,1,0.0,0.0,397.5835390519979,-397.5835390519979,-397.5835390519979,-397.5835390519979,-397.5835390519979,0.0,0 days 22:15:00,55490.231908775895
2025-03-26,3,0,3,0.0,0.0,1093.3773200484704,-1093.3773200484704,-364.45910668282346,-290.7088003821059,-427.0722249378576,0.0,0 days 11:20:00,54396.85458872742
2025-03-27,5,3,2,0.6,3269.460424304039,994.9935953879037,2274.4668289161355,454.89336578322707,1147.6681984663167,-519.3946516298979,3.285911024411591,0 days 04:54:00,56671.32141764356
