exit_week,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2025-09-08/2025-09-14,7,2,5,0.2857142857142857,7739.979207515687,7238.956204354566,501.0230031611227,71.57471473730324,4002.2580027580543,-1796.1089037805777,1.0692120506074803,0 days 14:53:34.285714285,326707.57795747527
2025-09-15/2025-09-21,9,4,5,0.4444444444444444,11856.919466257095,6563.746893346263,5293.172572910832,588.1302858789813,4156.683683395386,-1781.5018090009005,1.8064254546860383,1 days 01:13:20,332000.7505303861
2025-09-22/2025-09-28,3,1,2,0.3333333333333333,4195.870935916872,1953.7701285032938,2242.1008074135784,747.3669358045262,4195.870935916872,-1365.8435388207124,2.147576562208556,1 days 13:20:00,334242.8513377997
2025-09-29/2025-10-05,10,5,5,0.5,19347.69433736804,6077.109693825093,13270.584643542947,1327.0584643542948,4133.537471294347,-1785.673942565893,3.1837000337557,0 days 22:18:00,347513.4359813426
2025-10-06/2025-10-12,16,7,9,0.4375,28310.033082961894,10284.576714589944,18025.45636837195,1126.5910230232469,4207.458078861208,-1679.3620646149066,2.752668764947867,0 days 10:12:11.250000,365538.8923497146
2025-10-13/2025-10-19,17,7,10,0.4117647058823529,27825.411915779056,14786.647553085999,13038.764362693059,766.9861389819446,4192.835748195592,-1763.4859907627742,1.8817931391062233,0 days 09:54:42.352941176,378577.65671240765
2025-10-20/2025-10-26,7,2,5,0.2857142857142857,8315.836429596004,7014.681015729991,1301.1554138660126,185.8793448380018,4167.481005191859,-1618.9157059193349,1.1854903182266239,0 days 10:23:34.285714285,379878.81212627364
2025-10-27/2025-11-02,14,6,8,0.42857142857142855,23405.567228794127,11169.958528339805,12235.60870045432,873.9720500324514,4208.2080245018005,-1788.6141300202496,2.095403234435545,0 days 14:31:04.285714285,392114.42082672793
2025-11-03/2025-11-09,16,7,9,0.4375,27580.58971166619,12697.037585153765,14883.552126512428,930.2220079070268,4177.973091602354,-1700.5522504449289,2.172206668421245,0 days 10:37:30,406997.9729532404
2025-11-10/2025-11-16,13,7,6,0.5384615384615384,27715.360522270203,8757.912899851732,18957.44762241847,1458.2652017244977,4198.022246360722,-1957.89635181427,3.1646079196265373,0 days 12:28:50.769230769,425955.42057565885
2025-11-17/2025-11-23,12,7,5,0.5833333333333334,28004.64034080491,5679.30682204647,22325.33351875844,1860.4444598965367,4198.962092399654,-1428.9261507242657,4.930996196946755,0 days 14:03:45,448280.75409441727
2025-11-24/2025-11-30,10,3,7,0.3,12371.941387653464,10740.362845256896,1631.5785423965667,163.15785423965667,4199.007689952907,-1736.498702377105,1.151910933168994,0 days 15:55:30,449912.3326368138
2025-12-01/2025-12-07,8,4,4,0.5,14682.125329971286,4863.927002951414,9818.198327019873,1227.274790877484,3995.421588420811,-1509.9235670864175,3.018574357933872,0 days 20:16:52.500000,459730.5309638337
2025-12-08/2025-12-14,6,3,3,0.5,10979.761362075777,4039.3953384160855,6940.366023659692,1156.7276706099485,3773.9650011062054,-1762.3961757124107,2.7181695383104354,0 days 21:35:00,466670.8969874934
2025-12-15/2025-12-21,11,5,6,0.45454545454545453,19505.755662918033,9160.53948533502,10345.216177583012,940.474197962092,4085.7045650481896,-1998.0850079655,2.129323899989135,0 days 17:46:21.818181818,477016.1131650764
2025-12-22/2025-12-28,9,4,5,0.4444444444444444,15074.271798133766,5645.951570212873,9428.32022792089,1047.5911364356546,4200.104892253904,-1879.976725459045,2.6699258062472917,0 days 17:33:20,486444.4333929973
2025-12-29/2026-01-04,4,2,2,0.5,7657.041370868711,2889.1860267073353,4767.855344161376,1191.963836040344,4107.944190502195,-1931.5362339466446,2.6502417290156526,1 days 02:37:30,491212.2887371587
2026-01-05/2026-01-11,6,4,2,0.6666666666666666,15575.148582458525,2805.0212525276665,12770.12732993086,2128.3545549884766,4075.307250022888,-1472.7209363131522,5.552595570683614,1 days 04:37:30,503982.41606708954
2026-01-12/2026-01-18,11,6,5,0.5454545454545454,22808.590292930545,7650.78668300788,15157.803609922667,1377.982146356606,3994.6632385253624,-1832.6460152863433,2.9812085002431967,0 days 19:57:16.363636363,519140.2196770122
2026-01-19/2026-01-25,22,11,11,0.5,40327.145365208424,14373.11706863284,25954.028296575583,1179.728558935254,4101.719677448301,-1790.7117252944715,2.805734147481226,0 days 07:27:16.363636363,545094.2479735877
2026-01-26/2026-02-01,25,12,13,0.48,46872.679889202256,18936.446354314707,27936.233534887553,1117.4493413955022,4195.864677429171,-1916.873981147944,2.4752627294572735,0 days 06:37:48,573030.4815084753
2026-02-02/2026-02-08,20,10,10,0.5,38915.000796317974,14175.968031271681,24739.03276504629,1236.9516382523145,4063.819885253963,-1997.6709125339198,2.7451388653298925,0 days 07:54:45,597769.5142735216
2026-02-09/2026-02-15,30,18,12,0.6,68297.71667718873,17669.10326595607,50628.61341123267,1687.620447041089,4164.534687995882,-1861.6272449791893,3.8653753758280023,0 days 03:25:30,648398.1276847543
2026-02-16/2026-02-22,10,4,6,0.4,16135.018050670595,7593.745625674728,8541.272424995866,854.1272424995866,4107.51074552536,-1661.9976608454579,2.1247772635571986,0 days 22:00:00,656939.4001097502
2026-02-23/2026-03-01,17,7,10,0.4117647058823529,26074.83619451514,12652.976667925202,13421.85952658994,789.5211486229376,4114.176750183134,-1692.9512549937442,2.060766954594473,0 days 08:52:03.529411764,670361.2596363402
2026-03-02/2026-03-08,24,11,13,0.4583333333333333,42603.92385721204,19238.92212362574,23365.001733586294,973.5417388994289,4101.889729499817,-2041.5196514278477,2.214465217097254,0 days 06:31:15,693726.2613699265
2026-03-09/2026-03-15,11,4,7,0.36363636363636365,15418.788850307408,11045.749460220548,4373.03939008686,397.54903546244185,4131.267428398076,-1980.1803204417467,1.3959024605650927,0 days 14:28:38.181818181,698099.3007600134
2026-03-16/2026-03-22,15,4,11,0.26666666666666666,15764.735341072084,16218.100961029335,-453.3656199572524,-30.22437466381683,4176.696896552983,-1999.1527660488373,0.9720457024502037,0 days 07:06:00,697645.9351400562
2026-03-23/2026-03-29,8,3,5,0.375,12080.633997917119,6543.9495308697815,5536.684467047337,692.0855583809172,4189.231574535342,-1538.917132973694,1.8460768899468323,0 days 12:31:52.500000,703182.6196071035
2026-03-30/2026-04-05,11,5,6,0.45454545454545453,18226.78632020953,8187.181780054829,10039.604540154698,912.6913218322453,4091.217756271419,-1597.9430994987354,2.2262589020085817,0 days 15:40:54.545454545,713222.2241472582
